PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
40487264,Assessment and recalibration of seventeen lung cancer risk prediction models in approximately one million Chinese population utilising healthcare big data: a retrospective cohort analysis,"Ye Z, Sun Y, Yin Y, Liu L, Cui M, Zhang L, Hao Y, Christiani DC, Lin H, Shen P, Wei Y.",Lancet Reg Health West Pac. 2025 May 16;58:101575. doi: 10.1016/j.lanwpc.2025.101575. eCollection 2025 May.,Ye Z,Lancet Reg Health West Pac,2025,2025/06/09,PMC12143837,,10.1016/j.lanwpc.2025.101575
40276496,"A practical guide to the implementation of AI in orthopaedic research-Part 7: Risks, limitations, safety and verification of medical AI systems","Winkler PW, Zsidai B, Hamrin Senorski E, Pruneski JA, Hirschmann MT, Ley C, Tischer T, Herbst E, Pareek A, Musahl V, Oeding JF, Oettl FC, Longo UG, Samuelsson K, Feldt R; ESSKA Artificial Intelligence Working Group.",J Exp Orthop. 2025 Apr 24;12(2):e70247. doi: 10.1002/jeo2.70247. eCollection 2025 Apr.,Winkler PW,J Exp Orthop,2025,2025/04/25,PMC12019299,,10.1002/jeo2.70247
40577014,Multicenter Validation of a Machine Learning Model for Surgical Transfusion Risk at 45 US Hospitals,"Lou SS, Kumar S, Goss CW, Avidan MS, Kheterpal S, Kannampallil T; Multicenter Perioperative Outcomes Group.",JAMA Netw Open. 2025 Jun 2;8(6):e2517760. doi: 10.1001/jamanetworkopen.2025.17760.,Lou SS,JAMA Netw Open,2025,2025/06/27,PMC12205404,,10.1001/jamanetworkopen.2025.17760
40239134,Development and Validation of an Artificial Intelligence Digital Pathology Biomarker to Predict Benefit of Long-Term Hormonal Therapy and Radiotherapy in Men With High-Risk Prostate Cancer Across Multiple Phase III Trials,"Armstrong AJ, Liu VYT, Selvaraju RR, Chen E, Simko JP, DeVries S, Sartor O, Sandler HM, Mohamad O, Huang HC, Griffin J, Yamashita R, Esteva A, Tran PT, Spratt DE, Carson JH, Peters C, Gore E, Lee SP, Monson JM, Augspurger ME, El-Gayed A, Rodgers JP, McKay R, Morgan T, Feng FY, Nguyen PL.",J Clin Oncol. 2025 Apr 16:JCO2400365. doi: 10.1200/JCO.24.00365. Online ahead of print.,Armstrong AJ,J Clin Oncol,2025,2025/04/16,PMC12228211,NIHMS2089774,10.1200/JCO.24.00365
40646553,"The ethics of data mining in healthcare: challenges, frameworks, and future directions","Ahmed MM, Okesanya OJ, Oweidat M, Othman ZK, Musa SS, Lucero-Prisno Iii DE.",BioData Min. 2025 Jul 11;18(1):47. doi: 10.1186/s13040-025-00461-w.,Ahmed MM,BioData Min,2025,2025/07/11,PMC12255135,,10.1186/s13040-025-00461-w
40699518,Development and validation of a predictive mortality scoring model for bloodstream infections due to Escherichia coli in the PROBAC cohort,"Olivares-Navarro P, Pérez-Rodríguez MT, Goikoetxea-Agirre AJ, Reguera-Iglesias JM, León E, Mantecón MÁ, Pulido-Navazo Á, Boix-Palop L, Retamar-Gentil P, Armiñanzas-Castillo C, Fernández-Natal I, Jover-Sáenz A, Del Arco Jiménez A, Fernández-Suárez J, Martín-Aspas A, Smithson-Amat A, Bahamonde Carrasco A, Natera-Kindelán C, Martínez Pérez-Crespo P, López Hernández I, López-Cortés LE, Rodríguez-Baño J; PROBAC/GEIRAS-SEIMC/SAMICEI.",Infection. 2025 Jul 23. doi: 10.1007/s15010-025-02614-9. Online ahead of print.,Olivares-Navarro P,Infection,2025,2025/07/23,,,10.1007/s15010-025-02614-9
39502657,Raising awareness of potential biases in medical machine learning: Experience from a Datathon,"Hochheiser H, Klug J, Mathie T, Pollard TJ, Raffa JD, Ballard SL, Conrad EA, Edakalavan S, Joseph A, Alnomasy N, Nutman S, Hill V, Kapoor S, Claudio EP, Kravchenko OV, Li R, Nourelahi M, Diaz J, Taylor WM, Rooney SR, Woeltje M, Celi LA, Horvat CM.",medRxiv [Preprint]. 2024 Nov 2:2024.10.21.24315543. doi: 10.1101/2024.10.21.24315543.,Hochheiser H,medRxiv,2024,2024/11/06,PMC11537317,,10.1101/2024.10.21.24315543
39552381,Predicting involuntary admission following inpatient psychiatric treatment using machine learning trained on electronic health record data,"Perfalk E, Damgaard JG, Bernstorff M, Hansen L, Danielsen AA, Østergaard SD.",Psychol Med. 2024 Nov 18;54(15):1-14. doi: 10.1017/S0033291724002642. Online ahead of print.,Perfalk E,Psychol Med,2024,2024/11/18,PMC11650168,,10.1017/S0033291724002642
39767748,Prediction of Major Adverse Cardiovascular Events in Patients with Peripheral Artery Disease Using Circulating Immunomodulatory Proteins,"Li B, Shaikh F, Younes H, Abuhalimeh B, Chin J, Rasheed K, Zamzam A, Abdin R, Qadura M.",Biomedicines. 2024 Dec 13;12(12):2842. doi: 10.3390/biomedicines12122842.,Li B,Biomedicines,2024,2025/01/08,PMC11674036,,10.3390/biomedicines12122842
39487383,A Novel Method to Predict Carbohydrate and Energy Expenditure During Endurance Exercise Using Measures of Training Load,"Rothschild JA, Hofmeyr S, McLaren SJ, Maunder E.",Sports Med. 2025 Mar;55(3):753-774. doi: 10.1007/s40279-024-02131-z. Epub 2024 Nov 1.,Rothschild JA,Sports Med,2025,2024/11/02,PMC11985602,,10.1007/s40279-024-02131-z
40230673,Harnessing Artificial Intelligence for Innovation in Interventional Cardiovascular Care,"Aminorroaya A, Biswas D, Pedroso AF, Khera R.",J Soc Cardiovasc Angiogr Interv. 2025 Mar 18;4(3Part B):102562. doi: 10.1016/j.jscai.2025.102562. eCollection 2025 Mar.,Aminorroaya A,J Soc Cardiovasc Angiogr Interv,2025,2025/04/15,PMC11993883,,10.1016/j.jscai.2025.102562
40204727,Development and validation of prediction algorithm to identify tuberculosis in two large California health systems,"Fischer H, Qian L, Li Z, Bruxvoort K, Skarbinski J, Ni Y, Ku JH, Lewin B, Garba S, Mahale P, Shaw SF, Spence B, Tartof SY.",Nat Commun. 2025 Apr 10;16(1):3385. doi: 10.1038/s41467-025-58775-6.,Fischer H,Nat Commun,2025,2025/04/09,PMC11982269,,10.1038/s41467-025-58775-6
