PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25627261","Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis (TRIPOD): the TRIPOD Statement","Collins GS, Reitsma JB, Altman DG, Moons KG.","Br J Surg. 2015 Feb;102(3):148-58. doi: 10.1002/bjs.9736.","Collins GS","Br J Surg","2015","2015/01/29","","","10.1002/bjs.9736"
"36327887","Pre-hospital prediction of adverse outcomes in patients with suspected COVID-19: Development, application and comparison of machine learning and deep learning methods","Hasan M, Bath PA, Marincowitz C, Sutton L, Pilbery R, Hopfgartner F, Mazumdar S, Campbell R, Stone T, Thomas B, Bell F, Turner J, Biggs K, Petrie J, Goodacre S.","Comput Biol Med. 2022 Dec;151(Pt A):106024. doi: 10.1016/j.compbiomed.2022.106024. Epub 2022 Aug 28.","Hasan M","Comput Biol Med","2022","2022/11/03","PMC9420071","","10.1016/j.compbiomed.2022.106024"
"33867488","Utilizing electronic health record data to understand comorbidity burden among people living with HIV: a machine learning approach","Yang X, Zhang J, Chen S, Weissman S, Olatosi B, Li X.","AIDS. 2021 May 1;35(Suppl 1):S39-S51. doi: 10.1097/QAD.0000000000002736.","Yang X","AIDS","2021","2021/04/19","PMC8058944","NIHMS1647980","10.1097/QAD.0000000000002736"
"35297216","Development and external validation of a nomogram for individualized adjuvant imatinib duration for high-risk gastrointestinal stromal tumors: A multicenter retrospective cohort study","Liu R, Wu Y, Gong J, Zhao R, Li L, Wan Q, Lian N, Shen X, Xia L, Shen Y, Xiao H, Wu X, Chen Y, Cen Y, Xu X.","Cancer Med. 2022 Aug;11(16):3093-3105. doi: 10.1002/cam4.4673. Epub 2022 Mar 16.","Liu R","Cancer Med","2022","2022/03/17","PMC9385591","","10.1002/cam4.4673"
"36828664","Development and validation of a prediction model for intrapartum cesarean delivery based on the artificial neural networks approach: a protocol for a prospective nested case-control study","Huang C, Luo B, Wang G, Chen P, Ren J.","BMJ Open. 2023 Feb 24;13(2):e066753. doi: 10.1136/bmjopen-2022-066753.","Huang C","BMJ Open","2023","2023/02/24","PMC9972428","","10.1136/bmjopen-2022-066753"
"31510992","Development and validation of a pre-scoring system for nonspecific low back pain among general population in Guangzhou: a cross-sectional study","Wang K, Zhang JW, Min SX, Xu XY, An SL.","BMC Public Health. 2019 Sep 12;19(1):1262. doi: 10.1186/s12889-019-7564-9.","Wang K","BMC Public Health","2019","2019/09/13","PMC6739945","","10.1186/s12889-019-7564-9"
"36709831","Development of a model to predict combined antidepressant medication and psychotherapy treatment response for depression among veterans","Bossarte RM, Ross EL, Liu H, Turner B, Bryant C, Zainal NH, Puac-Polanco V, Ziobrowski HN, Cui R, Cipriani A, Furukawa TA, Leung LB, Joormann J, Nierenberg AA, Oslin DW, Pigeon WR, Post EP, Zaslavsky AM, Zubizarreta JR, Luedtke A, Kennedy CJ, Kessler RC.","J Affect Disord. 2023 Apr 1;326:111-119. doi: 10.1016/j.jad.2023.01.082. Epub 2023 Jan 26.","Bossarte RM","J Affect Disord","2023","2023/01/29","PMC9975041","NIHMS1870904","10.1016/j.jad.2023.01.082"
"31831532","Current state of science in machine learning methods for automatic infant pain evaluation using facial expression information: study protocol of a systematic review and meta-analysis","Cheng D, Liu D, Philpotts LL, Turner DP, Houle TT, Chen L, Zhang M, Yang J, Zhang W, Deng H.","BMJ Open. 2019 Dec 11;9(12):e030482. doi: 10.1136/bmjopen-2019-030482.","Cheng D","BMJ Open","2019","2019/12/14","PMC6924806","","10.1136/bmjopen-2019-030482"
"34624755","Development of a novel nomogram-based online tool to predict axillary status after neoadjuvant chemotherapy in cN+ breast cancer: A multicentre study on 1,950 patients","Corsi F, Albasini S, Sorrentino L, Armatura G, Carolla C, Chiappa C, Combi F, Curcio A, Della Valle A, Ferrari G, Gasparri ML, Gentilini O, Ghilli M, Listorti C, Mancini S, Marinello P, Meani F, Mele S, Pertusati A, Roncella M, Rovera F, Sgarella A, Tazzioli G, Tognali D, Folli S.","Breast. 2021 Dec;60:131-137. doi: 10.1016/j.breast.2021.09.013. Epub 2021 Oct 2.","Corsi F","Breast","2021","2021/10/08","PMC8503563","","10.1016/j.breast.2021.09.013"
"35984654","Assessment of Adherence to Reporting Guidelines by Commonly Used Clinical Prediction Models From a Single Vendor: A Systematic Review","Lu JH, Callahan A, Patel BS, Morse KE, Dash D, Pfeffer MA, Shah NH.","JAMA Netw Open. 2022 Aug 1;5(8):e2227779. doi: 10.1001/jamanetworkopen.2022.27779.","Lu JH","JAMA Netw Open","2022","2022/08/19","PMC9391954","","10.1001/jamanetworkopen.2022.27779"
