PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38636956","TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods","","BMJ. 2024 Apr 18;385:q902. doi: 10.1136/bmj.q902.","","BMJ","2024","2024/04/18","PMC11025451","","10.1136/bmj.q902"
"40516152","Computed tomography radiomics-based cross-sectional detection of mandibular osteoradionecrosis in head and neck cancer survivors","Kamel S, Humbert-Vidan L, Kaffey Z, Mirbahaeddin S, Abusaif A, Fuentes DTA, Wahid K, Dede C, Naser MA, He R, Moawad AW, Elsayes KM, Chen MM, Otun AO, Rigert J, Chambers MS, Hope A, Watson E, Brock KK, Hutcheson K, van Dijk L, Moreno AC, Lai SY, Fuller CD, Mohamed ASR; MD Anderson Head and Neck Cancer Symptom Working Group.","Oral Oncol. 2025 Aug;167:107337. doi: 10.1016/j.oraloncology.2025.107337. Epub 2025 Jun 13.","Kamel S","Oral Oncol","2025","2025/06/14","PMC12276996","NIHMS2090702","10.1016/j.oraloncology.2025.107337"
"39885243","A comprehensive evaluation of histopathology foundation models for ovarian cancer subtype classification","Breen J, Allen K, Zucker K, Godson L, Orsi NM, Ravikumar N.","NPJ Precis Oncol. 2025 Jan 30;9(1):33. doi: 10.1038/s41698-025-00799-8.","Breen J","NPJ Precis Oncol","2025","2025/01/30","PMC11782474","","10.1038/s41698-025-00799-8"
"39375356","Multivariable prediction of functional outcome after first-episode psychosis: a crossover validation approach in EUFEST and PSYSCAN","Slot MIE, Urquijo Castro MF, Winter-van Rossum I, van Hell HH, Dwyer D, Dazzan P, Maat A, De Haan L, Crespo-Facorro B, Glenthøj BY, Lawrie SM, McDonald C, Gruber O, van Amelsvoort T, Arango C, Kircher T, Nelson B, Galderisi S, Weiser M, Sachs G, Kirschner M; PSYSCAN Consortium; Fleischhacker WW, McGuire P, Koutsouleris N, Kahn RS.","Schizophrenia (Heidelb). 2024 Oct 7;10(1):89. doi: 10.1038/s41537-024-00505-w.","Slot MIE","Schizophrenia (Heidelb)","2024","2024/10/07","PMC11458815","","10.1038/s41537-024-00505-w"
"40139886","Ensemble Deep Learning Algorithm for Structural Heart Disease Screening Using Electrocardiographic Images: PRESENT SHD","Dhingra LS, Aminorroaya A, Sangha V, Pedroso AF, Shankar SV, Coppi A, Foppa M, Brant LCC, Barreto SM, Ribeiro ALP, Krumholz HM, Oikonomou EK, Khera R.","J Am Coll Cardiol. 2025 Apr 1;85(12):1302-1313. doi: 10.1016/j.jacc.2025.01.030.","Dhingra LS","J Am Coll Cardiol","2025","2025/03/26","PMC12199746","NIHMS2088734","10.1016/j.jacc.2025.01.030"
"39417095","An Ensemble Deep Learning Algorithm for Structural Heart Disease Screening Using Electrocardiographic Images: PRESENT SHD","Dhingra LS, Aminorroaya A, Sangha V, Pedroso AF, Shankar SV, Coppi A, Foppa M, Brant LC, Barreto SM, Ribeiro ALP, Krumholz HM, Oikonomou EK, Khera R.","medRxiv [Preprint]. 2024 Dec 27:2024.10.06.24314939. doi: 10.1101/2024.10.06.24314939.","Dhingra LS","medRxiv","2024","2024/10/17","PMC11483021","","10.1101/2024.10.06.24314939"
"39529875","Detection of breast cancer using machine learning on time-series diffuse optical transillumination data","Harnischmacher N, Rodner E, Schmitz CH.","J Biomed Opt. 2024 Nov;29(11):115001. doi: 10.1117/1.JBO.29.11.115001. Epub 2024 Nov 11.","Harnischmacher N","J Biomed Opt","2024","2024/11/12","PMC11552526","","10.1117/1.JBO.29.11.115001"
"40611334","CT-based radiomics model to predict platinum sensitivity in epithelial ovarian carcinoma: a multicentre study","He M, Singh R, Wang M, Ho G, Wong EMF, Chiu KWH, Leung AKT, Tse KY, Ip PPC, Hwang A, Han L, Lee EYP.","Cancer Imaging. 2025 Jul 3;25(1):85. doi: 10.1186/s40644-025-00906-9.","He M","Cancer Imaging","2025","2025/07/03","PMC12225207","","10.1186/s40644-025-00906-9"
